Price,Date,Adj Close,Close,High,Low,Open,Volume
0,2019-12-10,150.23841857910156,160.9199981689453,162.0399932861328,160.41000366210938,161.4499969482422,1688700
1,2019-12-11,151.0413360595703,161.77999877929688,162.35000610351562,161.22999572753906,161.5,2194300
2,2019-12-12,151.81935119628906,161.97000122070312,162.97000122070312,160.91000366210938,161.50999450683594,1885000
3,2019-12-13,150.44143676757812,160.5,162.60000610351562,159.8300018310547,161.10000610351562,1542300
4,2019-12-16,151.2850341796875,161.39999389648438,162.9600067138672,160.82000732421875,161.8800048828125,1413400
5,2019-12-17,150.89137268066406,160.97999572753906,164.39999389648438,160.85000610351562,162.0399932861328,1530900
6,2019-12-18,149.40101623535156,159.38999938964844,162.3699951171875,158.9600067138672,161.74000549316406,1665000
7,2019-12-19,151.01324462890625,161.11000061035156,161.92999267578125,158.77000427246094,159.35000610351562,2528000
8,2019-12-20,150.9194793701172,161.00999450683594,162.7100067138672,160.32000732421875,162.19000244140625,3443000
9,2019-12-23,152.03489685058594,162.1999969482422,162.8000030517578,161.5,162.44000244140625,1389200
10,2019-12-24,151.54747009277344,161.67999267578125,162.3699951171875,161.5,162.0500030517578,264200
11,2019-12-26,151.26629638671875,161.3800048828125,162.60000610351562,160.9499969482422,161.8699951171875,578000
12,2019-12-27,151.3319091796875,161.4499969482422,161.83999633789062,160.7899932861328,161.58999633789062,570800
13,2019-12-30,150.87266540527344,160.9600067138672,161.30999755859375,160.00999450683594,161.19000244140625,817500
14,2019-12-31,151.04132080078125,161.13999938964844,161.33999633789062,160.00999450683594,160.88999938964844,897200
15,2020-01-02,151.50062561035156,161.6300048828125,162.30999755859375,160.77000427246094,162.1699981689453,1356900
16,2020-01-03,154.07823181152344,164.3800048828125,164.5800018310547,159.3699951171875,160.02999877929688,962400
17,2020-01-06,156.45909118652344,166.9199981689453,167.02999877929688,163.11000061035156,163.92999267578125,1544400
18,2020-01-07,155.33433532714844,165.72000122070312,166.4499969482422,165.0,165.8800048828125,1131000
19,2020-01-08,155.4936981201172,165.88999938964844,166.89999389648438,165.0399932861328,165.89999389648438,1386800
20,2020-01-09,158.11817932128906,168.69000244140625,169.75,166.67999267578125,166.67999267578125,1281700
21,2020-01-10,156.8153076171875,167.3000030517578,168.8300018310547,166.72999572753906,168.8300018310547,675400
22,2020-01-13,160.1615753173828,170.8699951171875,171.3300018310547,167.1300048828125,167.92999267578125,1309000
23,2020-01-14,157.79010009765625,168.33999633789062,170.88999938964844,167.8300018310547,170.39999389648438,1020300
24,2020-01-15,159.8616180419922,170.5500030517578,171.8699951171875,168.2899932861328,168.4199981689453,909500
25,2020-01-16,162.02687072753906,172.86000061035156,173.1199951171875,170.36000061035156,171.61000061035156,918100
26,2020-01-17,165.08251953125,176.1199951171875,176.52999877929688,172.00999450683594,173.92999267578125,1231500
27,2020-01-21,165.8511505126953,176.94000244140625,177.55999755859375,174.61000061035156,175.24000549316406,1384000
28,2020-01-22,166.6010284423828,177.74000549316406,178.4499969482422,177.10000610351562,178.11000061035156,717900
29,2020-01-23,165.9448699951172,177.0399932861328,178.39999389648438,176.3000030517578,178.1999969482422,685500
30,2020-01-24,168.40065002441406,179.66000366210938,179.75999450683594,177.5399932861328,177.91000366210938,669100
31,2020-01-27,166.84471130371094,178.0,178.33999633789062,176.00999450683594,176.92999267578125,695100
32,2020-01-28,167.84768676757812,179.07000732421875,180.3000030517578,178.05999755859375,178.69000244140625,809800
33,2020-01-29,168.17572021484375,179.4199981689453,180.2100067138672,178.77000427246094,179.4600067138672,447400
34,2020-01-30,168.7849884033203,180.07000732421875,180.22999572753906,177.44000244140625,177.44000244140625,592100
35,2020-01-31,165.9073944091797,177.0,179.5,176.5800018310547,179.22999572753906,828800
36,2020-02-03,164.99818420410156,176.02999877929688,178.1999969482422,175.9499969482422,177.66000366210938,718000
37,2020-02-04,167.14468383789062,178.32000732421875,179.5399932861328,176.72999572753906,177.13999938964844,810500
38,2020-02-05,165.61680603027344,176.69000244140625,179.49000549316406,176.5,178.85000610351562,1216800
39,2020-02-06,167.71641540527344,178.92999267578125,180.1300048828125,176.07000732421875,176.83999633789062,1087700
40,2020-02-07,168.21322631835938,179.4600067138672,185.89999389648438,178.86000061035156,180.14999389648438,1473200
